ID_REF,VALUE,Ratio,Flagged?,INV_VALUE
<blank>,1.78571,0.01638,TRUE,-1.78571
YCR097W-A,-0.04612,1.11204,FALSE,0.04612
YMR056C,0.00631,0.98558,FALSE,-0.00631
YBR085W,-0.07923,1.20014,FALSE,0.07923
YJR155W,0.03845,0.91527,TRUE,-0.03845
YNL331C,-0.05689,1.13997,FALSE,0.05689
YOL165C,0.14887,0.70979,FALSE,-0.14887
YCR107W,0.00857,0.98045,FALSE,-0.00857
YDL243C,-0.14713,1.40324,FALSE,0.14713
YFL056C,-0.03854,1.0928,FALSE,0.03854
YNL141W,0.14745,0.71212,FALSE,-0.14745
YHR047C,0.02476,0.94458,FALSE,-0.02476
YBL074C,-0.08253,1.20929,FALSE,0.08253
YKL106W,0.08627,0.81984,FALSE,-0.08627
YLR027C,-0.13275,1.35753,FALSE,0.13275
YGL119W,0.0094,0.97859,FALSE,-0.0094
YBR236C,-0.03068,1.0732,FALSE,0.03068
YKL112W,0.07842,0.83479,FALSE,-0.07842
YMR072W,-0.13486,1.36414,FALSE,0.13486
YJR108W,-0.06357,1.15763,FALSE,0.06357
